,product_id,product_category_name,product_photos_qty
0,1e9e8ef04dbcff4541ed26657ea517e5,perfumaria,1
1,3aa071139cb16b67ca9e5dea641aaa2f,artes,1
2,96bd76ec8810374ed1b65e291975717f,esporte lazer,1
3,cef67bcfe19066a932b7673e239eb23d,bebes,1
4,9dc1a7de274444849c219cff195d0b71,utilidades domesticas,4
5,41d3672d4792049fa1779bb35283ed13,instrumentos musicais,1
6,732bd381ad09e530fe0a5f457d81becb,cool stuff,4
7,2548af3e6e77a690cf3eb6368e9ab61e,moveis decoracao,2
8,37cc742be07708b53a98702e77a21a02,eletrodomesticos,1
9,8c92109888e8cdf9d66dc7e463025574,brinquedos,1
10,14aa47b7fe5c25522b47b4b29c98dcb9,cama mesa banho,1
11,03b63c5fc16691530586ae020c345514,bebes,4
12,cf55509ea8edaaac1d28fdb16e48fc22,instrumentos musicais,3
13,7bb6f29c2be57716194f96496660c7c2,moveis decoracao,2
14,eb31436580a610f202c859463d8c7415,construcao ferramentas seguranca,4
15,3bb7f144022e6732727d8d838a7b13b3,esporte lazer,1
16,6a2fb4dd53d2cdb88e0432f1284a004c,perfumaria,2
17,a1b71017a84f92fd8da4aeefba108a24,informatica acessorios,1
18,a0736b92e52f6cead290e30b578413b6,moveis decoracao,2
19,f53103a77d9cf245e579ea37e5ec51f0,cama mesa banho,1
20,1c1890ba1779090cd54008a3c3302921,moveis decoracao,4
21,518ef5de2c2b3a255e326a4594ba15d9,cama mesa banho,2
22,e3e020af31d4d89d2602272b315c3f6e,beleza saude,3
23,8b41fbc2b984a12030090112324d1bc4,bebes,1
24,d03bd02af9fff4b98f1c972315e5e9ef,moveis decoracao,1
25,8ba4f2a4ae695d26e5626c1bf710975e,utilidades domesticas,1
26,f6574524b07d5bb753bab6f35abe2d06,malas acessorios,5
27,c78b767da00efb70c1bcccab87c28cd5,informatica acessorios,2
28,a0253d43394dd4da9a5d7b1f546f1a32,informatica acessorios,2
29,051b9ff13dd55c0a6655a15ff296f80d,esporte lazer,2
30,47859fca9dd7485cbd93c3e8993bb74f,cama mesa banho,1
31,e1d1d22e9f8122a4ec1533b032c12562,ferramentas jardim,9
32,20e37962088a4061d3578def47a8648b,moveis decoracao,1
33,1eba879220bd0981a0e2fbab499ed4e1,moveis escritorio,1
34,ce5b91848b91118daffb3af53b747475,esporte lazer,4
35,5370b82a213393979691c98074265584,bebes,9
36,b8dac5113b06a97e64943234522572b9,automotivo,2
37,750cf819d127191920eda79a4b6fb479,eletronicos,1
38,e6af694343b45b56304ad91974a110b9,utilidades domesticas,1
39,680874c570dad71c0a2844cfbf417054,moveis decoracao,1
40,8b3a9476f74f5297f7ff0ec6d95fe1ea,moveis decoracao,2
41,1c6fb703c624b381a20f21f757694866,brinquedos,2
42,db46052aed7dff59ba38cf2fe29b87f9,cama mesa banho,4
43,b864b103180d5a6a3f830e67f93e8735,bebes,4
44,7a8dac4aaa16bc642e4df33adcf03303,cool stuff,2
45,83b9bc6aae6f527ff6aafb9e01d6cbf3,brinquedos,3
46,5f504b3a1c75b73d6151be81eb05bdc9,cool stuff,3
47,bbf920aa6ac72007a726e6f419156f8f,moveis decoracao,2
48,c3b7e4d83e530c27a8e6368296aece48,moveis decoracao,2
49,c5d8079278e912d7e3b6beb48ecb56e8,beleza saude,1
50,5eaa343860dc445b3fd43d1b682809fd,esporte lazer,5
51,b5cfb1d3c5e435a7a52227e08f220ee7,cool stuff,2
52,334479e94cba98064050db1c9636e244,automotivo,1
53,3fcd8dfe610c62edfb51de2630cd9ef4,bebes,4
54,4c8056caed5757810b9a68b83c3759e6,malas acessorios,2
55,30e77af9e7759bbaa0305d2fbc605dc4,fashion calcados,2
56,92bf5d2084dfbcb57d9db7838bac5cd0,telefonia,2
57,fdeb34a9f03fea7c3937dd62d1d0287e,cool stuff,1
58,1065dbb6b0bf03daaedab1236979e296,papelaria,3
59,0d826eba8e0a2ae3bca9e3a947dd756d,brinquedos,4
60,f8f6fd145cc00519283cf3100477b2b3,esporte lazer,1
61,4e04ffb7dd3739ecfc37de8927dd586c,papelaria,1
62,36555a2f528d7b2a255c504191445d39,beleza saude,1
63,22937a73f92a33040ab4e2540355a5d8,fashion bolsas e acessorios,3
64,dc21247da0290904ffbbcd5953c76f95,papelaria,1
65,9020ce7adcc384b2899ae87ddc54767b,papelaria,2
66,bfc1d1c62b1f7f401d8d9dda962bb870,esporte lazer,2
67,6fef6d87bb6c2eb11d57a967209219a8,ferramentas jardim,1
68,1e5428c428e0f783acd6e3d94ba4ee2a,pcs,1
69,94080f9219044d897195e2be145945dc,automotivo,6
70,d0389f20b3d11de54e1e4561df147683,casa construcao,1
71,3e9b58f1436820c248d3f98d7229bb14,relogios presentes,2
72,575c38b4c88fc7b35ef22fc8312bfe1b,cool stuff,3
73,556702ebb73d3786a852ad3d5a8ad268,construcao ferramentas construcao,1
74,a3a03c131926ec14d4c9f3ef03016b24,pet shop,1
75,e586ebb6022265ae1eea38f46ffe3ead,beleza saude,3
76,278b3c6462e86b4556b99989513ddf73,eletroportateis,3
77,0d009643171aee696f4733340bc2fdd0,perfumaria,1
78,be1be330cf34043d1c40d6114cbd11b5,relogios presentes,1
79,07f01b6fcacc1b187a71e5074199db2d,agro industria e comercio,1
80,75b4372e69a42f8ae1d908c076f547b2,beleza saude,1
81,3569d4374a919941a50f57371b1dc93d,beleza saude,1
82,a3c95dc653d9a279b160bc0179385ed1,cama mesa banho,1
83,0992c6cba95a13bfa68ea7d5e22d478b,ferramentas jardim,1
84,b1eae565a61935e0011ee7682fef9dc9,perfumaria,2
85,2734390ee304b0f4817b3c233094fc16,instrumentos musicais,3
